ตลาดส่งออก 5000 อันดับแรกของไทยรายสินค้า,,,,,,,,,,,,
ทุกสินค้า,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราขยายตัว (%),,,,สัดส่วน (%),,,
ประเทศ,2562,2563,2563,2564,2562,2563,2563,2564,2562,2563,2563,2564
,,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.)
  -  เซเนกัล,"6,124.88","3,552.47","3,552.47","4,174.70",26.95,-42.00,-42.00,17.52,0.08,0.05,0.05,0.05
  -  แทนซาเนีย,"3,665.23","3,087.95","3,087.95","4,129.14",-9.51,-15.75,-15.75,33.72,0.05,0.04,0.04,0.05
  -  กัวเตมาลา,"2,718.58","2,182.10","2,182.10","3,993.84",-26.34,-19.73,-19.73,83.03,0.04,0.03,0.03,0.05
  -  ปานามา,"4,438.98","2,666.06","2,666.06","3,937.58",-18.99,-39.94,-39.94,47.69,0.06,0.04,0.04,0.05
  -  แคเมอรูน,"7,371.33","4,473.04","4,473.04","3,829.65",20.45,-39.32,-39.32,-14.38,0.10,0.06,0.06,0.04
  -  สโลวีเนีย,"2,245.15","1,866.02","1,866.02","3,743.63",6.22,-16.89,-16.89,100.62,0.03,0.03,0.03,0.04
  -  โมร็อกโก,"3,960.26","2,792.05","2,792.05","3,612.17",15.54,-29.50,-29.50,29.37,0.05,0.04,0.04,0.04
  -  บาห์เรน,"4,467.03","3,899.50","3,899.50","3,430.49",-44.61,-12.70,-12.70,-12.03,0.06,0.05,0.05,0.04
  -  เปอร์โตริโก,"2,203.87","2,617.46","2,617.46","3,358.49",-35.24,18.77,18.77,28.31,0.03,0.04,0.04,0.04
  -  เลบานอน,"3,990.76","2,048.38","2,048.38","3,262.39",-22.62,-48.67,-48.67,59.27,0.05,0.03,0.03,0.04
  -  ตูนีเซีย,"1,997.54","2,561.16","2,561.16","3,078.80",-55.67,28.22,28.22,20.21,0.03,0.04,0.04,0.04
  -  คอสตาริกา,"2,398.90","2,244.13","2,244.13","2,991.82",-27.53,-6.45,-6.45,33.32,0.03,0.03,0.03,0.04
  -  บัลแกเรีย,"1,949.16","1,878.32","1,878.32","2,750.70",3.10,-3.63,-3.63,46.44,0.03,0.03,0.03,0.03
  -  บรูไน,"3,605.02","3,551.04","3,551.04","2,622.16",6.61,-1.50,-1.50,-26.16,0.05,0.05,0.05,0.03
  -  ฮอนดูรัส,"1,686.61","1,569.60","1,569.60","2,607.64",-18.37,-6.94,-6.94,66.13,0.02,0.02,0.02,0.03
  -  ลิกเตนสไตน์,"4,977.14","2,543.17","2,543.17","2,448.29",-10.76,-48.90,-48.90,-3.73,0.07,0.04,0.04,0.03
  -  โตโก,"3,054.16","2,695.15","2,695.15","2,414.47",-12.93,-11.75,-11.75,-10.41,0.04,0.04,0.04,0.03
  -  ตรินิแดดและโตเบโก,"3,138.53","2,097.50","2,097.50","2,354.51",0.10,-33.17,-33.17,12.25,0.04,0.03,0.03,0.03
  -  มัลดีฟส์,"3,698.09","1,711.77","1,711.77","2,221.66",-4.26,-53.71,-53.71,29.79,0.05,0.02,0.02,0.03
  -  จาเมกา,"1,841.94","1,740.93","1,740.93","2,191.80",-31.41,-5.48,-5.48,25.90,0.02,0.02,0.02,0.03
  -  สาธารณรัฐโดมินิกัน,"2,107.28","2,169.34","2,169.34","2,136.26",-24.96,2.95,2.95,-1.53,0.03,0.03,0.03,0.03
  -  ภูฎาน,"1,331.46","1,597.97","1,597.97","2,098.02",5.72,20.02,20.02,31.29,0.02,0.02,0.02,0.02
  -  นอกเขตต่อเนื่องราชอาณาจักร,2.72,"1,108.05","1,108.05","2,064.01",-99.93,"40,697.05","40,697.05",86.27,0.00,0.02,0.02,0.02
  -  แอลจีเรีย,"2,244.40","1,495.41","1,495.41","1,982.74",-42.00,-33.37,-33.37,32.59,0.03,0.02,0.02,0.02
"  -  CONGO, THE DEMOCRATIC REPUBLIC","1,782.25","1,480.74","1,480.74","1,941.11",52.07,-16.92,-16.92,31.09,0.02,0.02,0.02,0.02
  -  เนปาล,"3,175.80","1,259.74","1,259.74","1,821.06",18.50,-60.33,-60.33,44.56,0.04,0.02,0.02,0.02
  -  เอลซัลวาดอร์,"1,411.41",978.37,978.37,"1,778.80",5.68,-30.68,-30.68,81.81,0.02,0.01,0.01,0.02
  -  มอริเชียส,"2,517.36","1,606.69","1,606.69","1,746.65",-6.30,-36.18,-36.18,8.71,0.03,0.02,0.02,0.02
  -  ฟิจิ,"1,598.47","1,220.22","1,220.22","1,673.35",-36.23,-23.66,-23.66,37.14,0.02,0.02,0.02,0.02
